Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
11-Oct-24,EQ,"1,761.20","1,800.00","1,744.40","1,757.35","1,773.00","1,774.55","1,777.94","2,158.00","1,695.60","1,07,398","19,09,47,104.30","9,959"
10-Oct-24,EQ,"1,770.05","1,780.00","1,740.10","1,770.05","1,760.30","1,757.35","1,765.94","2,158.00","1,695.60","78,572","13,87,53,318.65","8,688"
09-Oct-24,EQ,"1,768.00","1,790.00","1,741.50","1,742.40","1,770.00","1,770.05","1,765.47","2,158.00","1,695.60","1,22,812","21,68,21,312.15","14,200"
08-Oct-24,EQ,"1,708.40","1,750.00","1,695.60","1,709.15","1,743.05","1,742.40","1,724.22","2,158.00","1,695.60","1,02,182","17,61,84,491.45","12,071"
07-Oct-24,EQ,"1,780.80","1,810.60","1,697.50","1,780.80","1,714.40","1,709.15","1,732.99","2,158.00","1,697.50","1,46,606","25,40,66,769.95","20,283"
04-Oct-24,EQ,"1,793.20","1,810.95","1,761.00","1,797.20","1,780.55","1,780.80","1,789.36","2,158.00","1,761.00","90,449","16,18,46,206.10","12,553"
03-Oct-24,EQ,"1,832.00","1,832.00","1,790.00","1,833.70","1,798.00","1,797.20","1,806.97","2,158.00","1,790.00","1,06,693","19,27,91,272.25","12,411"
01-Oct-24,EQ,"1,805.40","1,859.00","1,791.60","1,798.70","1,833.50","1,833.70","1,834.15","2,158.00","1,791.15","2,71,335","49,76,69,680.05","25,307"
30-Sep-24,EQ,"1,811.05","1,824.40","1,791.15","1,813.35","1,794.90","1,798.70","1,804.63","2,158.00","1,791.15","94,297","17,01,71,359.30","10,583"
27-Sep-24,EQ,"1,827.95","1,834.20","1,806.05","1,819.80","1,815.00","1,813.35","1,819.49","2,159.40","1,798.25","1,29,218","23,51,10,508.85","17,773"
26-Sep-24,EQ,"1,860.65","1,874.60","1,811.90","1,843.95","1,818.00","1,819.80","1,833.79","2,229.70","1,798.25","1,73,521","31,82,01,752.30","18,218"
25-Sep-24,EQ,"1,867.00","1,867.00","1,827.40","1,857.25","1,846.10","1,843.95","1,841.25","2,246.20","1,798.25","1,11,513","20,53,23,243.20","13,280"
24-Sep-24,EQ,"1,872.00","1,886.85","1,839.10","1,870.30","1,857.00","1,857.25","1,858.94","2,311.00","1,798.25","1,68,086","31,24,61,326.60","14,437"
